Song,Artist,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id_Spotify,Link_Spotify,type,uri,track_href,analysis_url,Link_YouTube,Questionnaire
Ava Adore,Smahsing Pumpkins,Hard Rock,0.604,0.844,8,-6.003,1,0.0597,0.000401,0.214,0.0484,0.791,160.318,270893,4,6bVB2MGR7LcotAIB1vfpw6,https://open.spotify.com/track/6bVB2MGR7LcotAIB1vfpw6,audio_features,spotify:track:6bVB2MGR7LcotAIB1vfpw6,https://api.spotify.com/v1/tracks/6bVB2MGR7LcotAIB1vfpw6,https://api.spotify.com/v1/audio-analysis/6bVB2MGR7LcotAIB1vfpw6,https://youtu.be/9uWwvQKGjLI?t=11,2
Sweet Dreams,Marilyn Manson,Hard Rock,0.21,0.675,0,-5.119,0,0.0369,0.00516,0.535,0.247,0.153,186.129,293293,4,3D0bXrSv7O73vOaGOG8J9c,https://open.spotify.com/track/3D0bXrSv7O73vOaGOG8J9c,audio_features,spotify:track:3D0bXrSv7O73vOaGOG8J9c,https://api.spotify.com/v1/tracks/3D0bXrSv7O73vOaGOG8J9c,https://api.spotify.com/v1/audio-analysis/3D0bXrSv7O73vOaGOG8J9c,https://youtu.be/QUvVdTlA23w?t=10,6
As I Am,Dream Theater,Hard Rock,0.514,0.95,7,-4.657,1,0.0725,0.0000109,0.0135,0.19,0.149,130.027,467827,4,6hz6lrQtLcxOOjflnYjF9o,https://open.spotify.com/track/6hz6lrQtLcxOOjflnYjF9o,audio_features,spotify:track:6hz6lrQtLcxOOjflnYjF9o,https://api.spotify.com/v1/tracks/6hz6lrQtLcxOOjflnYjF9o,https://api.spotify.com/v1/audio-analysis/6hz6lrQtLcxOOjflnYjF9o,https://youtu.be/iD_R8K89Z8I?t=55,1
Walk,Pantera,Hard Rock,0.43,0.704,1,-8.008,0,0.0804,0.000155,0.00221,0.0933,0.703,118.242,315120,4,7fcfNW0XxTWlwVlftzfDOR,https://open.spotify.com/track/7fcfNW0XxTWlwVlftzfDOR,audio_features,spotify:track:7fcfNW0XxTWlwVlftzfDOR,https://api.spotify.com/v1/tracks/7fcfNW0XxTWlwVlftzfDOR,https://api.spotify.com/v1/audio-analysis/7fcfNW0XxTWlwVlftzfDOR,,
Serenade No. 13 for strings in G major,Mozart,Instrumental,0.487,0.179,7,-14.968,1,0.0405,0.956,0.405,0.0599,0.314,130.277,367595,4,4jwmD9XX0Va02tkq2Ft1ox,https://open.spotify.com/track/4jwmD9XX0Va02tkq2Ft1ox,audio_features,spotify:track:4jwmD9XX0Va02tkq2Ft1ox,https://api.spotify.com/v1/tracks/4jwmD9XX0Va02tkq2Ft1ox,https://api.spotify.com/v1/audio-analysis/4jwmD9XX0Va02tkq2Ft1ox,https://youtu.be/z4Hfv00eqoI?t=2,5
Toccata and Fugue in D minor,Bach,Instrumental,0.164,0.188,2,-19.533,0,0.0357,0.437,0.873,0.386,0.14,109.313,482067,4,61JrLdVyiMy8nPg63DlENb,https://open.spotify.com/track/61JrLdVyiMy8nPg63DlENb,audio_features,spotify:track:61JrLdVyiMy8nPg63DlENb,https://api.spotify.com/v1/tracks/61JrLdVyiMy8nPg63DlENb,https://api.spotify.com/v1/audio-analysis/61JrLdVyiMy8nPg63DlENb,https://youtu.be/ho9rZjlsyYY?t=2,5
The Four Seasons,Vivaldi,Instrumental,0.333,0.465,7,-18.452,1,0.0462,0.837,0.797,0.291,0.641,169.952,153573,3,3qwVqJyXKNiPZLz9VBMd6r,https://open.spotify.com/track/3qwVqJyXKNiPZLz9VBMd6r,audio_features,spotify:track:3qwVqJyXKNiPZLz9VBMd6r,https://api.spotify.com/v1/tracks/3qwVqJyXKNiPZLz9VBMd6r,https://api.spotify.com/v1/audio-analysis/3qwVqJyXKNiPZLz9VBMd6r,,
Carmen,Bizet,Instrumental,0.263,0.27,2,-16.85,0,0.0348,0.876,0.865,0.0562,0.228,129.095,213693,4,7e8ZbMDwjdbUHWsoMOlZCd,https://open.spotify.com/track/7e8ZbMDwjdbUHWsoMOlZCd,audio_features,spotify:track:7e8ZbMDwjdbUHWsoMOlZCd,https://api.spotify.com/v1/tracks/7e8ZbMDwjdbUHWsoMOlZCd,https://api.spotify.com/v1/audio-analysis/7e8ZbMDwjdbUHWsoMOlZCd,https://youtu.be/pmuFOuh3QHs?t=10,3
The Blue Danube,Strauss,Instrumental,0.226,0.0701,2,-20.668,1,0.0361,0.929,0.782,0.123,0.15,176.342,527400,3,5LYAuItJcXH06adHkebOmf,https://open.spotify.com/track/5LYAuItJcXH06adHkebOmf,audio_features,spotify:track:5LYAuItJcXH06adHkebOmf,https://api.spotify.com/v1/tracks/5LYAuItJcXH06adHkebOmf,https://api.spotify.com/v1/audio-analysis/5LYAuItJcXH06adHkebOmf,https://youtu.be/_CTYymbbEL4?t=25,1
In the hall of the Mountain King,Grieg,Instrumental,0.449,0.114,6,-21.425,0,0.0463,0.693,0.557,0.107,0.559,132.093,154693,4,6pyVwsX5jOSnNC4d5GPeut,https://open.spotify.com/track/6pyVwsX5jOSnNC4d5GPeut,audio_features,spotify:track:6pyVwsX5jOSnNC4d5GPeut,https://api.spotify.com/v1/tracks/6pyVwsX5jOSnNC4d5GPeut,https://api.spotify.com/v1/audio-analysis/6pyVwsX5jOSnNC4d5GPeut,https://youtu.be/kLp_Hh6DKWc?t=30,10
